STATE,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,
,(,),++,",",--,;,=,an,boolean,car,cela,entulesse,hyaline,id,ista,liltengwa,note,number,opa,opl,opr,oprel,qui,sarme,yulmavene,{,},$,Stmts,Stmt,If,Else,Expr,Arit,Factor,Rel,Log,For,Forexpr,Postfix,Read,Write,Type,Declaration,Function,Params
38,,s57,,,,,,,,,,,,,,s16,s15,,,,,,,,s17,,,,,,,,,,,,,,,,,,58,,,56
39,,,,,,,,s11,,,,,,,s12,s16,s15,,,,,,s10,s13,s17,,,,,59,4,,,,,,,5,,,6,7,14,8,,
40,,,,,,,,s11,,,,,,,s12,s16,s15,,,,,,s10,s13,s17,,,,,60,4,,,,,,,5,,,6,7,14,8,,
41,s32,,,,,,,,,,,,,s30,,,,s31,,,,,,,,,,,,,,,,61,29,,,,,,,,,,,
42,s32,,,,,,,,,,,,,s30,,,,s31,,,,,,,,,,,,,,,,,62,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,s28,,,,,,,,,,,,,,,,,63,,,,,,,,,
44,,r( Log -> opl boolean ),,,,,,,,,,,,,,,,,,,,,,,,r( Log -> opl boolean ),,,,,,,,,,,,,,,,,,,,
45,,s64,,,,,,,,,,,,,,,,,s42,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,
47,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,r( Expr -> Arit ),,,,,,,,,,,,,,,,,s42,,s41,,,,,,,,,,,,,,,,,,,,,,,,,
52,,r( Expr -> Rel ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,r( Factor -> id ),,r( Factor -> id ),,r( Factor -> id ),,,,,,,,,,,,,r( Factor -> id ),s28,r( Factor -> id ),,,,,r( Factor -> id ),,,,,,,,,,,70,,,,,,,,,
54,s32,,,,,,,,,,,,,s30,,,,s31,,,,,,,,,,,,,,,,,71,,,,,,,,,,,
55,,,,,,,,s11,,,,,,,s12,s16,s15,,,,,,s10,s13,s17,,,,,72,4,,,,,,,5,,,6,7,14,8,,
56,,s73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,s74,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,s75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,r( If -> qui Rel { Stmt ),,,,,,,,,,,,,,,,r( If -> qui Rel { Stmt ),,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,r( If -> qui Log { Stmt ),,,,,,,,,,,,,,,,r( If -> qui Log { Stmt ),,,,,,,,,,,,,,,,,,,
61,,r( Rel -> Arit opr Arit ),,,,,,,,,,,,,,,,,s42,,,,,,,r( Rel -> Arit opr Arit ),,,,,,,,,,,,,,,,,,,,
62,,r( Arit -> Arit opa Factor ),,,,,,,,,,,,,,,,,r( Arit -> Arit opa Factor ),,r( Arit -> Arit opa Factor ),,,,,r( Arit -> Arit opa Factor ),,,,,,,,,,,,,,,,,,,,
63,,r( Log -> opl id Log ),,,,,,,,,,,,,,,,,,,,,,,,r( Log -> opl id Log ),,,,,,,,,,,,,,,,,,,,
64,,r( Factor -> ( Arit ) ),,r( Factor -> ( Arit ) ),,r( Factor -> ( Arit ) ),,,,,,,,,,,,,r( Factor -> ( Arit ) ),,r( Factor -> ( Arit ) ),,,,,r( Factor -> ( Arit ) ),,,,,,,,,,,,,,,,,,,,
65,,s76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,s32,,,,,,,,,,,,,s30,,,,s31,,,,,,,,,,,,,,,,,78,,,,,,,,,,,
68,,,,,,s79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,r( Expr -> id Log ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,r( Declaration -> Type id = Factor ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,s81,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,s82,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,s11,,,,,,,s12,s16,s15,,,,,,s10,s13,s17,,,,,83,4,,,,,,,5,,,6,7,14,8,,
75,,r( Params -> Type id ),,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,s85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,s86,,,,,,,,,,,,,,,,,,,,
78,,,,s87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,r( Read -> ista ( id ) ; ),,,r( Read -> ista ( id ) ; ),,r( Read -> ista ( id ) ; ),,r( Read -> ista ( id ) ; ),r( Read -> ista ( id ) ; ),r( Read -> ista ( id ) ; ),,,,,,r( Read -> ista ( id ) ; ),r( Read -> ista ( id ) ; ),r( Read -> ista ( id ) ; ),,r( Read -> ista ( id ) ; ),r( Read -> ista ( id ) ; ),,,,,,,,,,,,,,,,,,
80,,,,,,,,r( Write -> sarme ( Expr ) ; ),,,r( Write -> sarme ( Expr ) ; ),,r( Write -> sarme ( Expr ) ; ),,r( Write -> sarme ( Expr ) ; ),r( Write -> sarme ( Expr ) ; ),r( Write -> sarme ( Expr ) ; ),,,,,,r( Write -> sarme ( Expr ) ; ),r( Write -> sarme ( Expr ) ; ),r( Write -> sarme ( Expr ) ; ),,r( Write -> sarme ( Expr ) ; ),r( Write -> sarme ( Expr ) ; ),,,,,,,,,,,,,,,,,,
81,,,,,,,,r( Else -> cela entulesse { Stmt } ),,,r( Else -> cela entulesse { Stmt } ),,r( Else -> cela entulesse { Stmt } ),,r( Else -> cela entulesse { Stmt } ),r( Else -> cela entulesse { Stmt } ),r( Else -> cela entulesse { Stmt } ),,,,,,r( Else -> cela entulesse { Stmt } ),r( Else -> cela entulesse { Stmt } ),r( Else -> cela entulesse { Stmt } ),,r( Else -> cela entulesse { Stmt } ),r( Else -> cela entulesse { Stmt } ),,,,,,,,,,,,,,,,,,
82,,,,,,,,s11,,,,,,,s12,s16,s15,,,,,,s10,s13,s17,,,,,88,4,,,,,,,5,,,6,7,14,8,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,s89,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,s16,s15,,,,,,,,s17,,,,,,,,,,,,,,,,,,58,,,90
85,,,,,,,,,,,,,,,,,,,,,,,,,,s91,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,s11,,,,,,,s12,s16,s15,,,,,,s10,s13,s17,,,,,92,4,,,,,,,5,,,6,7,14,8,,
87,,,,,,,,,,,,,,s93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,s94,,,,,,,,,,,,,,,,,,,
